super_opeid,name,region,state,fips,cz,czname,cfips,county,zip,tier,tier_name,type,iclevel,public,barrons,exp_instr_pc_2000,exp_instr_pc_2013,multi,hbcu,flagship,sticker_price_2013,sticker_price_2000,grad_rate_150_p_2013,grad_rate_150_p_2002,avgfacsal_2013,avgfacsal_2001,sat_avg_2013,sat_avg_2001,scorecard_netprice_2013,scorecard_rej_rate_2013,scorecard_median_earnings_2011,endowment_pc_2000,exp_instr_2012,exp_instr_2000,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,alien_share_fall_2000,pct_arthuman_2000,pct_business_2000,pct_health_2000,pct_multidisci_2000,pct_publicsocial_2000,pct_stem_2000,pct_socialscience_2000,pct_tradepersonal_2000
30955,ASA Institute Of Business & Computer Technology,Northeast,NY,New York,19400,New York,36047,Kings,11201,Two-year for-profit,Two-year for-profit,Private For-profit,Two-year,Private,Missing,1961.1664,3643.2109,0,0,0,12298,,-.15965472,.59212881,4377.124,,,,22011,,26400,,12291059,1417345,.11801676,.081703909,.073324025,.071229048,-.47111008,5.8353925,11.425576,0,0,90.622505,3.7020237,0
3537,Abilene Christian University,South,TX,Texas,32501,Abilene,48441,Taylor,79699,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,4572.1567,7045.5659,0,0,0,29450,10910,-3.3471651,.54454345,5508.3223,48039.758,1076.1248,1100,20836,1.6102501,40200,,30223040,20684050,.007326873,.05766958,.05672418,.039943274,9.7466011,22.587957,5.0599203,9.7203732,8.7882824,10.882418,34.014996,.13315579
1541,Abraham Baldwin Agricultural College,South,GA,Georgia,8503,Valdosta,13277,Tift,31793,Nonselective four-year public,Nonselective four-year public,Public,Four-year,Public,Missing,3533.4463,3300.9163,0,0,0,3394,1664,,.22714286,4745.7842,43470.074,925.03351,,7887,.21770215,31900,1594.4452,9604920,9627084,.0049429657,.15703422,.016730038,.013688213,-3.1231713,.8344062,12.072893,47.152618,6.3781323,19.324314,.060252391,.68337131
7531,Academy Of Art University,West,CA,California,37800,San Francisco,6075,San Francisco,94105,Four-year for-profit,Four-year for-profit,Private For-profit,Four-year,Private,Missing,2569.2778,5038.6304,0,0,0,19740,15090,.025032697,.3224299,7064.1577,50651.371,,,28224,,36100,,87856928,17809356,.15640348,.023989422,.20589346,.27181715,96.97477,4.5828028,0,0,0,2.5141704,6.5806594,0
1345,Adams State University,West,CO,Colorado,34805,Alamosa,8003,Alamosa,81101,Selective public,Selective public,Public,Four-year,Public,Selective,1036.9449,5937.7222,0,0,0,8014,2186,2.5132792,.32332563,5986.8115,44087.602,985.38293,,14705,-2.2479944,33200,1028.1558,18314568,8925393,.0125,.035096154,.27548078,.0024038462,11.228055,22.513277,0,33.431084,0,12.587295,17.570986,0
2666,Adelphi University,Northeast,NY,New York,19400,New York,36059,Nassau,11530,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,6283.9482,10503.799,0,0,0,32340,15690,2.9288657,.48734176,11314.719,55523.098,1111.3917,1065,20512,.88142663,50600,,78979320,30597666,.029686997,.1226202,.067118429,.040980961,10.547416,29.16498,13.963964,3.6036036,8.5585585,9.4407692,31.458614,0
2860,Adirondack Community College - SUNY Office Of Community Colleges,Northeast,NY,New York,18600,Albany,36113,Warren,12804,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Public,Two-year,Public,Missing,2475.7666,3462.8694,0,0,0,4302,2503,-1.117723,.33164129,6389.8452,47857.82,,,2810,,32300,,13593025,8229181,.0066645509,.0082513485,.0092034275,.0028562362,-1.5379332,13.591565,12.606837,50,7.4786325,7.1497102,2.8795745,.21367522
2234,Adrian College,Midwest,MI,Michigan,11500,Jackson,26091,Lenawee,49221,Selective private,Selective private,Private Non-profit,Four-year,Private,Selective,5017.7095,6379.3086,0,0,0,32660,14250,.079359196,.45637584,7454.6748,40353.363,990.68475,,15774,1.8055371,36500,,10441712,4995231,.0037002775,.067530066,.017576318,.019426458,19.433414,33.219681,.61349696,12.269938,5.5214725,16.61775,17.650539,0
11484,Advanced Institute Of Hair Design,Midwest,WI,Wisconsin,24100,Milwaukee,55079,Milwaukee,53228,Two-year for-profit,Two-year for-profit,Private For-profit,Two-year,Private,Missing,1695.1045,2501.4915,0,0,0,,,6.4236326,.82147563,,,,,10707.964,,22000,,307487.03,112103.5,.0090909088,.071753249,.036201298,0,-1.0520843,.3182936,0,0,0,-4.4615273,2.1819959,100
31275,Advanced Technology Institute,South,VA,Virginia,2000,Virginia Beach,51810,Virginia Beach City,23462,Two-year for-profit,Two-year for-profit,Private For-profit,Two-year,Private,Missing,3841.7444,8173.1602,0,0,0,13255,6942,.71111703,,3813.6826,,,,18350,-1.8060699,35300,,6635811,1168395,.043956045,.26373628,.021978023,0,-3.1589885,-.57486892,0,0,0,14.157399,1.6488352,84.836067
